date,dow,month,title,genre,receipts,zinz,double,composer,author
1789-05-09,Sat,May,Die unerwartete Wendung,L,17661,TRUE,FALSE,,Jünger
1789-05-10,Sun,May,Il turco in Italia,O,3130,FALSE,FALSE,Seydelmann,Mazzolà
1789-05-11,Mon,May,Die unerwartete Wendung,L,5705,FALSE,FALSE,,Jünger
1789-05-12,Tue,May,I due suppositi conti,O,14905,TRUE,FALSE,Cimarosa,Anelli
1789-05-13,Wed,May,Agnes Bernauerinn,T,9822,TRUE,FALSE,,Törring und Cronsfeld
1789-05-14,Thu,May,Fra i due litiganti,O,2551,TRUE,FALSE,Sarti,Goldoni
1789-05-15,Fri,May,Der Fabrikant,L,4350,FALSE,TRUE,,Weidmann
1789-05-16,Sat,May,I due suppositi conti,O,15532,FALSE,FALSE,Cimarosa,Anelli
1789-05-17,Sun,May,Drey Zwillingschwestern,L,14132,TRUE,FALSE,,Weidmann
1789-05-18,Mon,May,I due suppositi conti,O,10451,TRUE,FALSE,Cimarosa,Anelli
1789-05-19,Tue,May,Die heimliche Heyrath,L,7390,FALSE,FALSE,,Colman
1789-05-20,Wed,May,Il turco in Italia,O,2863,FALSE,FALSE,Seydelmann,Mazzolà
1789-05-21,Thu,May,Emilia Galotti,T,7348,FALSE,FALSE,,Lessing
1789-05-22,Fri,May,Il turco in Italia,O,2794,FALSE,FALSE,Seydelmann,Mazzolà
1789-05-23,Sat,May,Die Beschämten,L,16892,FALSE,FALSE,,Cibber
1789-05-24,Sun,May,Una cosa rara,O,14138,FALSE,FALSE,Martín y Soler,Da Ponte
1789-05-25,Mon,May,Stille Wasser sind betrüglich,L,3392,FALSE,FALSE,,Beaumont
1789-05-26,Tue,May,I due suppositi conti,O,6430,TRUE,FALSE,Cimarosa,Anelli
1789-05-27,Wed,May,Die Beschämten,L,18676,TRUE,FALSE,,Cibber
